Node,Creation Date,Author,Region,Color
Re'im music festival massacre,2023-10-08,Eladkarmel,,red
2006 Gaza–Israel conflict,2006-06-28,Rangeley,,blue
2014 Gaza war beach bombing incidents,2015-06-21,Nishidani,,blue
2022 Gaza–Israel clashes,2022-08-05,לילך5,,blue
2023 Givat Shaul shooting,2023-11-30,Triggerhippie4,,red
2023 Arab–Islamic extraordinary summit,2023-11-11,Osps7,,red
2010 Palestinian militancy campaign,2010-09-26,AMuseo,,blue
2023 Hamas-led attack on Israel,2023-10-07,Osps7,,red
2008 breach of the Egypt–Gaza border,2008-01-24,Sa.vakilian,,blue
2006 Gaza cross-border raid,2011-09-22,TheCuriousGnome,,blue
2014 Gaza War,2014-07-08,AntanO,,blue
2023 Israeli blockade of the Gaza Strip,2023-10-09,Aqeccac,,red
2012 Israeli operation in the Gaza Strip,2012-11-14,Midrashah,,blue
1956 Rafah massacre,2013-08-25,1Matt20,,blue
2006 shelling of Beit Hanoun,2006-11-08,De Administrando Imperio,,blue
2023 Bitung clashes,2023-11-25,The Pict's,,red
2023 Democratic National Committee protests,2023-11-17,Salfanto,,red
2006 Israeli operation in Beit Hanoun,2006-11-02,Rangeley,,blue
2011 southern Israel cross-border attacks,2011-08-18,Wikilogin123,,blue
2023 Israeli airstrikes on municipal services in the Gaza Strip,2023-11-28,Freedom's Falcon,,red
2018–2019 Gaza border protests,2018-03-30,PatGallacher,,blue
2021 Israel–Palestine crisis,2021-05-09,RoanokeVirginia,,blue
2023 Israeli female tank crew fight,2023-11-28,Oleg Yunakov,,red
2023 Israeli–Palestinian prisoner exchange,2023-11-30,CarmenEsparzaAmoux,,red
2023 antisemitic riots in the North Caucasus,2023-10-29,PLATEL,,red
"2023 shooting of Palestinian students in Burlington, Vermont",2023-11-27,CarmenEsparzaAmoux,,red
2023 MTV Europe Music Awards,2023-10-03,Silencedoc,,blue
2023–2024 Gaza Strip preterm births,2023-12-25,CarmenEsparzaAmoux,,red
2023 Israel–Hamas ceasefire,2023-11-22,Ainty Painty,,red
2024 Iranian missile strikes in Iraq and Syria,2024-01-15,Sakiv,,red
2024 Iranian strikes in Israel,2024-05-22,Robertsky,,red
2024 Columbia University pro-Palestinian campus occupation,2024-04-18,ElijahPepe,,red
2024 Iran–Israel conflict,2024-04-10,Personisinsterest,,red
2024 Israeli strikes on Iran,2024-04-19,Flemmish Nietzsche,,red
2024 Sciences Po pro-Palestinian occupation protest,2024-04-28,Ainty Painty,,red
"2024 University of California, Los Angeles pro-Palestinian campus occupation",2024-04-30,Noopur28,,red
2024 missile strikes in Yemen,2024-01-11,Sakiv,,red
66th Annual Grammy Awards,2023-06-16,Jackedano,,blue
AI-assisted targeting in the Gaza Strip,2024-04-04,Kizor,,red
31 October 2023 Jabalia refugee camp airstrike,2023-11-01,Vice regent,,red
2024 pro-Palestinian protests on university campuses,2024-04-22,ElijahPepe,,red
Abdul Fatah Dukhan,2023-10-25,Longhornsg,,red
Accusations of United States complicity in Israeli war crimes in the Israel–Hamas war,2024-02-20,Ghazaalch,,red
Agence France-Presse,2004-02-16,David Gerard,,blue
Ahmad Bahar (Palestinian politician),2015-05-25,Ahmad20012001,,blue
Ahmed Abdel Khalek,2024-05-23,Longhornsg,,red
Ahmed Ghandour (militant),2023-11-20,Longhornsg,,red
Al-Fakhoora school airstrikes,2023-11-05,Ainty Painty,,red
Al-Maghazi refugee camp airstrikes,2023-11-05,Ainty Painty,,red
Al-Ahli Arab Hospital explosion,2023-10-17,Prodrummer619,,red
Al-Maghazi UNRWA school airstrike,2023-10-17,WeatherWriter,,red
Al-Falah School airstrike,2023-11-17,Osps7,,red
Al-Shati refugee camp airstrike,2023-10-09,The Great Mule of Eupatoria,,red
Al-Saqqa House,,,,gray
Al Jazeera Media Network,2010-12-27,12.196.37.227,,blue
Al-Shifa Hospital siege,2023-11-13,Ainty Painty,,red
Al-Shifa ambulance airstrike,2023-11-03,Iskandar323,,red
Alim Abdallah,2023-10-09,Sakiv,,red
Alaa Shreiteh,,,,gray
Ali Hussein Barji,2024-01-09,Ecrusized,,red
Ali Al Qadi,2023-10-16,Thief-River-Faller,,red
Al Qarara Cultural Museum,2023-11-05,Lajmmoore,,red
Alex Dancyg,2023-11-27,GvTara,,red
Allegations of genocide in the 2023 Hamas-led attack on Israel,2023-12-07,Homerethegreat,,red
Allegations of genocide in the 2023 Israeli attack on Gaza,2023-12-29,Crampcomes,,red
Alumim massacre,2023-10-31,שלומית ליר,,red
Aner Shapira,2024-03-31,Robertsky,,red
April 2024 Israeli settler rampages,2024-04-22,Starship.paint,,red
Alleged military use of al-Shifa hospital,2023-11-23,Selfstudier,,red
Anti-Palestinianism during the Israel–Hamas war,2023-10-22,Bohemian Baltimore,,red
Amir Tibon,2023-10-12,ForsythiaJo,,red
Antisemitism during the Israel–Hamas war,2023-10-19,Loksmythe,,red
Apple Watch,2013-07-02,Koavf,,blue
Anti-tunnel barrier along the Gaza–Israel border,2017-06-22,Midrashah,,blue
Assassination of Saleh al-Arouri,2024-01-02,Eladkarmel,,red
Asaf Hamami,2023-12-02,Eladkarmel,,red
Artists4Ceasefire,2024-03-11,John Cummings,,red
Arab–Israeli conflict,2001-12-17,Ed Poor,,blue
"Attacks on U.S. bases in Iraq, Jordan, and Syria during the Israel–Hamas war",2023-10-19,Mindthem,,red
Astral Projection (band),2003-12-13,Hephaestos,,blue
Associated Press,2002-04-06,213.253.40.17,,blue
Attacks on Palestinians evacuating Gaza City,2023-10-14,Ainty Painty,,red
Assault rifles,2004-10-13,Riddley,,blue
Attacks on health facilities during the Israel–Hamas war,2023-11-14,Ainty Painty,,red
Attacks on journalists during the Israel–Hezbollah conflict (2023–present),2023-12-17,Prodrummer619,,red
Bahia,2003-03-20,Magnus Manske,,blue
Attacks on the MV Maersk Hangzhou,2023-12-31,XavierGreen,,red
Attacks on schools during the Israeli invasion of Gaza,2023-11-24,Iskandar323,,red
Awni El-Dous,2023-12-24,CommissarDoggo,,red
Background of the Rafah offensive,2024-05-07,Selfstudier,,red
BBC,2001-09-14,Zundark,,blue
Barron's,2004-12-14,Perceval,,blue
Ayman Nofal,2023-10-18,Thief-River-Faller,,red
BBC News,2004-11-07,H1523702,,blue
Battle of Beit Hanoun,2023-10-28,Sajjjjr,,red
Battle of Hamad,2024-04-14,Borysk5,,red
Bearing Witness (2023 film),2023-11-08,Marokwitz,,red
Battle of Sderot,2023-10-07,Dynamo128,,red
Battle of Jabalia,2023-12-20,President Loki,,red
Battle of Re'im,2023-10-07,WeatherWriter,,red
Be'eri massacre,2023-10-09,Eladkarmel,,red
Battle of Shuja'iyya (2023),2024-04-04,The Great Mule of Eupatoria,,red
Battle of Shuja'iyya,2014-07-20,Uishaki,,blue
Battle of Sufa,2023-10-15,HumilatedGoan,,red
Belal Jadallah,2023-12-10,GorillaWarfare,,red
Blockout2024,2024-05-12,Fuzheado,,red
Bisan Owda,2023-11-07,ForsythiaJo,,red
Bituah Leumi,2012-09-11,Gilabrand,,blue
Bombing of the Gaza Strip,2024-02-19,CarmenEsparzaAmoux,,red
Blockade of the Gaza Strip,2008-09-08,John Bahrain,,blue
Calls for the destruction of Israel,2023-11-07,Eladkarmel,,red
British support for Israel in the Israel–Hamas war,2024-04-25,Skitash,,red
CBS News,2003-11-07,Angela,,blue
CNN,2001-08-11,Piotr Wozniak,,blue
Brazil,2001-09-30,Joao,,blue
Calls for a ceasefire during the Israel–Hamas war,2023-11-14,Neegzistuoja,,red
Casualties of Israeli attacks on the Gaza Strip,2019-11-20,Nishidani,,blue
Central Archives of Gaza City,2024-01-12,Lajmmoore,,red
Casualties of the Israel–Hamas war,2023-10-24,Jprg1966,,red
Church of Saint Porphyrius airstrike,2023-10-20,Ainty Painty,,red
Civilians,2003-11-19,Snoyes,,blue
Civil defense siren,2002-05-01,62.253.64.7,,blue
Coordinator of Government Activities in the Territories,2006-05-20,El C,,blue
Coastal Road massacre,2005-08-10,Altmany,,blue
Danna Stern,2021-12-30,MaskedSinger,,blue
Children in the Israeli–Palestinian conflict,2004-11-01,Alberuni,,blue
Death of Aner Shapira,2023-11-16,Oleg Yunakov,,red
Death of Paul Kessler,2023-11-08,Loksmythe,,red
Death of Yazan al-Kafarneh,2024-03-14,Leaky.Solar,,red
Defense for Children International-Palestine et al v. Biden et al,2024-01-14,DivineReality,,red
Destruction of cultural heritage during the 2023 Israeli invasion of Gaza,2024-03-27,Richard Nevell,,red
Declaration of war,2003-07-06,Vzbs34,,blue
Denial of the 2023 Hamas-led attack on Israel,2024-01-31,Eladkarmel,,red
Deutsche Presse-Agentur,2005-01-20,Desktiger,,blue
Dolphinarium discotheque massacre,2005-10-21,Ynhockey,,blue
Diplomatic impact of the Israel–Hamas war,2023-11-11,Ainty Painty,,red
Duki Dror,2006-12-20,Babel202,,blue
Eli Ginsberg,2023-10-09,Wierzba,,red
Economic impact of the Israel–Hamas war,2023-11-13,Ainty Painty,,red
Effect of the Israel–Hamas war on children in the Gaza Strip,2024-02-03,CarmenEsparzaAmoux,,red
Eitan Okun,2024-05-02,Eladkarmel,,red
Engineer's Building strike and massacre,2024-04-06,MountainDew20,,red
Elhanan Team,2024-03-19,Eladkarmel,,red
Effects of the Israel–Hamas war,2023-10-21,Infinity Knight,,red
Eshkol Regional Council,2006-12-29,Abrahami,,blue
Environmental damage in the Gaza Strip caused by the Israel–Hamas war,2024-04-07,John Cummings,,red
European Union reactions to the Israel–Hamas war,2024-04-09,JulenBengoitia,,red
Evacuations during the Israel–Hamas war,2023-10-12,ToadetteEdit,,red
Expo Tel Aviv,2006-09-24,Deanb,,blue
Eyal Waldman,2024-03-29,Longhornsg,,red
Fouad Abu Butihan,2023-12-18,EytanMelech,,red
From the river to the sea,2020-09-05,Eddie891,,blue
Flour massacre,2024-02-29,OliveTree39,,red
Friendly fire during the Israel–Hamas war,2024-01-13,Shushugah,,red
First Intifada,2002-08-14,Uriyan,,blue
France 24,2004-12-10,62.255.64.4,,blue
Fursan Khalifa,2023-12-18,EytanMelech,,red
Gaza City,2002-06-07,Fredbauder,,blue
Gaza Daily,2024-03-13,ArcMachaon,,red
Gaza Strip mass graves,2024-04-24,Ainty Painty,,red
Gaza Strip,2001-05-01,KoyaanisQatsi,,blue
Gaza Strip famine,2024-01-16,CarmenEsparzaAmoux,,red
Gaza floating pier,2024-03-08,Bri,,red
Gaza Strip evacuations,2023-10-15,CarmenEsparzaAmoux,,red
Gaza War (2008–2009),2008-12-27,Kormin,,blue
Gaza–Israel conflict,2008-03-17,IZAK,,blue
Gaza–Israel barrier,2004-02-20,OneVoice,,blue
Gaza humanitarian crisis (2023–present),2023-11-10,CarmenEsparzaAmoux,,red
Geographic coordinate system,2002-04-09,Tobias Hoevekamp,,blue
Haaretz,2002-07-26,Quasar~enwiki,,blue
Hammam Alloh,2023-11-16,Dsp13,,red
Hapoel Tel Aviv F.C.,2005-07-24,82.80.16.174,,blue
Hand grenades,2004-04-11,Duncharris,,blue
Hamas war crimes,2024-04-06,Fuppimuppi,,red
Hamas,2001-10-07,Rmhermen,,blue
Harbu Darbu,2023-12-04,Gobonobo,,red
Hannibal Directive,2011-10-20,Jokkmokks-Goran,,blue
Hayim Katsman,2023-11-14,ForsythiaJo,,red
Harvey Mason Jr.,2009-01-26,Peruvianllama,,blue
Hind's Hall,2024-05-07,Dippiljemmy,,red
Hiba Abu Nada,2023-10-20,علاء,,red
Holit attack,2023-10-14,Ronash,,red
Hostage,2002-11-13,Clarka,,blue
Hoshana Rabbah,2004-10-06,Pinnecco,,blue
History of Israel (1948–present),2023-04-15,Iskandar323,,blue
Holit massacre,2024-02-22,Theleekycauldron,,red
Hostage-taking,2005-09-29,Fastifex,,blue
Hostages and Missing Families Forum,2023-10-28,Midrashah,,red
Hostages Square,2023-12-14,Loksmythe,,red
Human shields in the Israeli–Palestinian conflict,2023-11-21,Iskandar323,,red
ISSN (identifier),2017-09-05,Matthiaspaul,,blue
Hurmat-e-Masjid Aqsa Conference,2023-12-07,Ainty Painty,,red
Humanitarian aid during the Israel–Hamas war,2024-02-12,CarmenEsparzaAmoux,,red
Ibrahim al-Astal,2023-10-26,علاء,,red
Ibrahim Qusaya,2023-11-15,Moondragon21,,red
Inbal Rabin-Lieberman,2023-10-12,Oleg Yunakov,,red
Independent International Commission of Inquiry on the Occupied Palestinian Territory,2022-02-02,Selfstudier,,blue
International Criminal Court investigation in Palestine,2019-12-25,Buidhe,,blue
International reactions to the Israel–Hamas war,2023-10-07,Nableezy,,red
International recognition of the State of Palestine,2011-07-23,Night w,,blue
Insurgency in the North Gaza Strip,2024-02-17,The Great Mule of Eupatoria,,red
Iran–Israel proxy conflict,2013-05-06,Greyshark09,,blue
Interrogation of militants in the Israel–Hamas war,2023-12-08,Marokwitz,,red
Israel and apartheid,2006-05-29,Formeruser-82,,blue
Islamophobia during the Israel–Hamas war,2023-11-02,Professor Penguino,,red
Islamist,2002-07-21,RK,,blue
Israel Summer Time,2005-08-24,82.81.248.51,,blue
Israel,2001-11-14,Stephen Gilbert,,blue
Israeli airstrike on the Iranian consulate in Damascus,2024-04-01,Classicwiki,,red
Israeli Public Broadcasting Corporation,2016-07-24,Midrashah,,blue
Israeli airstrikes on the Gaza Strip,2023-11-05,Pirate of the High Seas,,red
Israeli allegations against UNRWA,2024-01-27,ManOnTheMoon92,,red
Israeli demolition of Palestinian property,2007-06-23,Abu ali,,blue
Israeli incursions in the West Bank during the Israel–Hamas war,2023-11-17,Iskandar323,,red
Israeli government response to the 2023 Hamas-led attack on Israel,2023-12-09,CarmenEsparzaAmoux,,red
Israeli invasion of the Gaza Strip (2023–present),2023-10-13,Red-tailed hawk,,red
Israeli disengagement from Gaza,2004-04-15,67.100.122.43,,blue
Israeli outpost,2008-07-26,Colourinthemeaning,,blue
Israeli razing of cemeteries and necroviolence against Palestinians,2024-01-16,Keizers,,red
Israeli settlement,2001-10-07,203.109.250.xxx,,blue
Israeli torture in the occupied territories,2019-02-09,Nishidani,,blue
Israeli war cabinet,2023-10-11,Sakiv,,red
Israeli settler violence,2009-03-28,Factomancer,,blue
Israeli war crimes,2022-03-25,MasterOfMetaverse,,blue
Israel–Hamas war protest vote movements,2024-03-03,Sawerchessread,,red
Israel–Hamas war hostage crisis,2023-10-10,Eladkarmel,,red
Israel–Hamas war,2023-10-07,Ainty Painty,,red
Israel–Hamas war protests in the United Kingdom,2023-11-21,Woofboy,,red
