Top 50 nodes with the most out-degrees and author details:
Node: Islamism, Out-Degree: 606, Creation Date: 2001-11-01T23:48:04Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Palestinians, Out-Degree: 538, Creation Date: 2001-10-08T12:05:29Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: U2, Out-Degree: 497, Creation Date: 2001-08-07T22:25:02Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Assault rifle, Out-Degree: 402, Creation Date: 2001-09-13T06:59:22Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Terrorism, Out-Degree: 361, Creation Date: 2001-10-01T01:49:01Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: 2024 Iranian strikes against Israel, Out-Degree: 319, Creation Date: 2024-04-13T19:51:42Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Telegram (software), Out-Degree: 268, Creation Date: 2013-12-30T14:21:07Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Portal:Law, Out-Degree: 185, Creation Date: 2005-06-25T07:14:23Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Civilian, Out-Degree: 70, Creation Date: 2002-11-10T12:05:37Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Grenade, Out-Degree: 45, Creation Date: 2002-08-04T18:52:15Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Forward (association football), Out-Degree: 27, Creation Date: 2004-01-12T19:19:15Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Ynet, Out-Degree: 21, Creation Date: 2005-11-03T05:15:52Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Blockout 2024, Out-Degree: 19, Creation Date: 2024-05-11T20:46:56Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Environmental impact of the Israel–Hamas war, Out-Degree: 13, Creation Date: 2024-04-07T15:54:34Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Stuxnet, Out-Degree: 0, Creation Date: 2010-09-16T17:19:08Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Ayman Safadi, Out-Degree: 0, Creation Date: 2017-07-27T09:22:11Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Hammer (firearms), Out-Degree: 0, Creation Date: 2006-11-25T05:54:26Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Palestine (region), Out-Degree: 0, Creation Date: 2004-10-29T13:45:37Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Desmond Tutu, Out-Degree: 0, Creation Date: 2001-09-02T06:06:18Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Syrians, Out-Degree: 0, Creation Date: 2007-01-11T01:23:07Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Wafa, Out-Degree: 0, Creation Date: 2005-08-24T00:38:14Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: 2023 attack on the Chem Pluto, Out-Degree: 0, Creation Date: 2023-12-24T01:22:49Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Bethlehem University, Out-Degree: 0, Creation Date: 2005-12-02T21:02:20Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Slamfire, Out-Degree: 0, Creation Date: 2006-04-23T05:50:08Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
Node: Romanization of Persian, Out-Degree: 0, Creation Date: 2006-11-21T15:39:44Z, Author: Unknown, Location: Unknown, Religion: Unknown, Nationality: Unknown
